oslaua,pcds,msoa11,lsoa11,usertype,lat,long,imd,borough
E09000002,IG11 0AB,E02000020,E01000092,0,51.524794,0.124878,6348,barking
E09000002,IG11 0AE,E02000023,E01000096,0,51.531169,0.109388,3997,barking
E09000002,IG11 0AG,E02000023,E01000093,0,51.531241,0.106421,2669,barking
E09000002,IG11 0AN,E02000023,E01000093,0,51.531349,0.104507,2669,barking
E09000002,IG11 0AQ,E02000023,E01000093,0,51.531421,0.103501,2669,barking
E09000002,IG11 0AR,E02000020,E01000092,0,51.528615,0.087312,6348,barking
E09000002,IG11 0AT,E02000022,E01000049,0,51.5293,0.086261,3928,barking
E09000002,IG11 0AX,E02000020,E01000092,0,51.527855,0.08301,6348,barking
E09000002,IG11 0BB,E02000022,E01000049,0,51.52982,0.088809,3928,barking
E09000002,IG11 0BF,E02000023,E01000094,0,51.522655,0.115308,8930,barking
E09000002,IG11 1FN,E02000020,E01000052,1,51.534525,0.088203,6549,barking
E09000002,IG11 1HB,E02000020,E01000052,1,51.534525,0.088203,6549,barking
E09000002,IG11 1HF,E02000020,E01000052,1,51.534525,0.088203,6549,barking
E09000002,IG11 7BS,E02000022,E01033587,1,51.536381,0.070796,5880,barking
E09000002,IG11 7LU,E02000016,E01000010,1,51.536015,0.078725,6900,barking
E09000002,IG11 7NA,E02000016,E01000010,1,51.53692,0.082571,6900,barking
E09000002,IG11 7ND,E02000016,E01000010,1,51.537878,0.08018,6900,barking
E09000002,IG11 7PB,E02000022,E01000051,1,51.535486,0.082724,5228,barking
E09000002,IG11 7RS,E02000022,E01000048,1,51.531445,0.081372,3117,barking
E09000002,IG11 7SE,E02000022,E01000048,1,51.531993,0.085533,3117,barking
