oslaua,pcds,msoa11,lsoa11,usertype,lat,long,imd,borough
E09000009,HA0 1AL,E02000239,E01001308,1,51.547777,-0.312886,22868,ealing
E09000009,HA0 1AX,E02000239,E01001308,0,51.548672,-0.312593,22868,ealing
E09000009,HA0 1AY,E02000239,E01001308,0,51.548674,-0.31257,22868,ealing
E09000009,HA0 1BS,E02000242,E01001342,0,51.540334,-0.306787,19108,ealing
E09000009,HA0 1BT,E02000242,E01001342,0,51.540801,-0.30677,19108,ealing
E09000009,HA0 1BU,E02000242,E01001342,0,51.539985,-0.30569,19108,ealing
E09000009,HA0 1BW,E02000242,E01001345,0,51.538131,-0.306191,16547,ealing
E09000009,HA0 1DD,E02000242,E01001345,0,51.535487,-0.306189,16547,ealing
E09000009,HA0 1DE,E02000242,E01001345,0,51.536786,-0.306319,16547,ealing
E09000009,NW10 4XA,E02000252,E01001246,0,51.532986,-0.246749,7075,ealing
E09000009,NW10 4XB,E02000252,E01001246,0,51.533046,-0.247136,7075,ealing
E09000009,NW10 6BF,E02000252,E01001239,0,51.524814,-0.252887,6813,ealing
E09000009,NW10 6DE,E02000252,E01001246,0,51.529003,-0.250391,7075,ealing
E09000009,NW10 6DJ,E02000252,E01001239,0,51.525911,-0.255887,6813,ealing
E09000009,NW10 7LR,E02000252,E01001247,1,51.529081,-0.267775,13338,ealing
E09000009,NW10 7LW,E02000252,E01001247,1,51.528721,-0.270153,13338,ealing
E09000009,NW10 7PS,E02000252,E01001247,1,51.528023,-0.277085,13338,ealing
E09000009,NW10 7SS,E02000248,E01001276,1,51.536984,-0.281736,13885,ealing
E09000009,NW10 7XL,E02000248,E01001277,1,51.534471,-0.291303,16527,ealing
E09000009,UB1 1DP,E02000263,E01001362,1,51.508002,-0.379641,8413,ealing
E09000009,UB1 1JT,E02000260,E01001361,1,51.511165,-0.376883,6178,ealing
E09000009,UB1 1LD,E02000260,E01001361,1,51.511213,-0.379115,6178,ealing
E09000009,UB1 1PU,E02000260,E01001361,1,51.51155,-0.376826,6178,ealing
E09000009,UB1 1SF,E02000263,E01001360,1,51.508279,-0.37824,8447,ealing
E09000009,UB1 2GU,E02000247,E01032744,1,51.53102,-0.37041,6338,ealing
E09000009,UB1 2HX,E02000251,E01001217,1,51.520123,-0.365394,17865,ealing
E09000009,UB1 2PH,E02000260,E01001215,1,51.513227,-0.375787,7934,ealing
E09000009,UB1 2PQ,E02000254,E01001294,1,51.523374,-0.376075,12398,ealing
E09000009,UB1 2RL,E02000254,E01001298,1,51.517624,-0.37514,9045,ealing
E09000009,UB1 2TS,E02000254,E01001295,1,51.522244,-0.371127,16799,ealing
E09000009,UB1 3EE,E02000266,E01001220,1,51.512973,-0.35438,2523,ealing
E09000009,UB1 3EG,E02000266,E01001220,1,51.50978,-0.354928,2523,ealing
E09000009,UB1 3EQ,E02000266,E01001220,1,51.510259,-0.353858,2523,ealing
E09000009,UB1 3EU,E02000266,E01001340,1,51.506667,-0.349737,4859,ealing
E09000009,UB1 3HB,E02000260,E01001215,1,51.511836,-0.374698,7934,ealing
