oslaua,pcds,msoa11,lsoa11,usertype,lat,long,imd,borough
E09000010,EN1 1AA,E02000291,E01001512,1,51.651916,-0.077106,15781,enfield
E09000010,EN1 1BA,E02000291,E01001406,0,51.641864,-0.068975,11086,enfield
E09000010,EN1 1BB,E02000291,E01001406,0,51.642298,-0.067355,11086,enfield
E09000010,EN1 1BE,E02000292,E01001514,0,51.643919,-0.06659,12968,enfield
E09000010,EN1 1BG,E02000291,E01001406,0,51.64445,-0.067116,11086,enfield
E09000010,EN1 1BS,E02000292,E01001514,0,51.645538,-0.071507,12968,enfield
E09000010,EN1 1DA,E02000292,E01001514,0,51.645216,-0.068862,12968,enfield
E09000010,EN1 1DB,E02000291,E01001515,0,51.645894,-0.064178,5175,enfield
E09000010,EN1 1DD,E02000291,E01001515,0,51.646003,-0.063133,5175,enfield
E09000010,EN1 1DE,E02000291,E01001515,0,51.64644,-0.066771,5175,enfield
E09000010,EN1 1DX,E02000292,E01001511,0,51.646315,-0.054837,12867,enfield
E09000010,EN1 1DZ,E02000288,E01001513,1,51.654594,-0.052488,6497,enfield
E09000010,EN1 1FE,E02000288,E01001513,1,51.650251,-0.05464,6497,enfield
E09000010,EN1 1FQ,E02000288,E01001513,1,51.65107,-0.052916,6497,enfield
E09000010,EN1 1HQ,E02000300,E01001480,1,51.6358,-0.066476,7739,enfield
E09000010,EN1 1SL,E02000292,E01001511,1,51.646108,-0.058099,12867,enfield
E09000010,EN1 1WF,E02000291,E01001512,1,51.651916,-0.077106,15781,enfield
E09000010,EN1 2WA,E02000291,E01001512,1,51.651916,-0.077106,15781,enfield
E09000010,EN1 3AZ,E02000285,E01001544,1,51.654209,-0.07659,25045,enfield
E09000010,EN1 3EA,E02000281,E01001516,1,51.65682,-0.058754,8539,enfield
E09000010,EN1 3EB,E02000285,E01001544,1,51.654392,-0.081194,25045,enfield
E09000010,EN1 3EE,E02000284,E01001536,1,51.652472,-0.080899,15451,enfield
E09000010,EN1 3EL,E02000285,E01001544,1,51.654876,-0.081072,25045,enfield
E09000010,EN1 3LL,E02000285,E01001539,1,51.66253,-0.076772,18732,enfield
E09000010,EN1 3RN,E02000281,E01001516,1,51.658542,-0.058463,8539,enfield
