oslaua,pcds,msoa11,lsoa11,usertype,lat,long,imd,borough
E09000029,CR0 3AQ,E02000850,E01004076,0,51.3901,-0.13745,15853,sutton
E09000029,CR0 3AR,E02000850,E01004076,0,51.389588,-0.140299,15853,sutton
E09000029,CR0 3AS,E02000850,E01004076,0,51.389063,-0.138912,15853,sutton
E09000029,CR0 4AL,E02000850,E01004077,0,51.369748,-0.132831,20472,sutton
E09000029,CR0 4AQ,E02000850,E01004077,0,51.369917,-0.130468,20472,sutton
E09000029,CR0 4FA,E02000858,E01004086,0,51.36189,-0.121659,18662,sutton
E09000029,CR0 4FL,E02000850,E01004078,0,51.369944,-0.129346,18343,sutton
E09000029,CR0 4FW,E02000850,E01004078,0,51.37031,-0.129159,18343,sutton
E09000029,CR0 4FY,E02000850,E01004077,0,51.369445,-0.134122,20472,sutton
E09000029,CR0 4NH,E02000858,E01004086,0,51.362415,-0.121853,18662,sutton
E09000029,CR0 4NP,E02000850,E01004082,0,51.363782,-0.121305,30200,sutton
E09000029,CR0 4PD,E02000850,E01004080,0,51.367835,-0.123941,24684,sutton
E09000029,CR0 4PE,E02000850,E01004080,0,51.367862,-0.125664,24684,sutton
E09000029,CR0 4PF,E02000850,E01004080,0,51.367832,-0.127116,24684,sutton
E09000029,CR5 2XL,E02000863,E01004108,1,51.330548,-0.153257,20903,sutton
E09000029,CR5 2XN,E02000863,E01004108,1,51.329617,-0.152903,20903,sutton
E09000029,CR8 3YP,E02000863,E01004085,1,51.345097,-0.133833,26443,sutton
E09000029,CR9 5QU,E02000858,E01004086,1,51.360154,-0.123307,18662,sutton
E09000029,KT4 7WB,E02000845,E01004195,1,51.379884,-0.24281,25116,sutton
E09000029,KT4 7WL,E02000845,E01004195,1,51.379884,-0.24281,25116,sutton
E09000029,KT4 7WP,E02000845,E01004195,1,51.379884,-0.24281,25116,sutton
